ID	File	Language	Dialect	Vernacular Title	Licence Type	Licence Version	CC Licence Link	Copyright Holder	Copyright Years	Translation by
ycn	E:\Work\eBible\projects\ycn\copr.htm	Yucuna		Tupana Puraca'alo Mari	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2011	Translation by: Wycliffe Bible Translators, Inc.
yij	E:\Work\eBible\projects\yij\copr.htm	Yindjibarndi		NYIRTINGU MANYKA WANTHARNA NGURRAY	by	4.0	http://creativecommons.org/licenses/by/4.0/	Wycliffe Bible Translators	copyright © 1983	
yka	E:\Work\eBible\projects\yka\copr.htm	Yakan		Yakan Bible	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1984	Translation by: Wycliffe Bible Translators
yle	E:\Work\eBible\projects\yle\copr.htm	Yele Rossel (Yele)			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright ©	Translation by: Wycliffe Bible Translators
yml	E:\Work\eBible\projects\yml\copr.htm	Iamalele			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1984, 1988	Translation by: Wycliffe Bible Translators
yon	E:\Work\eBible\projects\yon\copr.htm	Yongkom			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			Translation by: Wycliffe Bible Translators
yor	E:\Work\eBible\projects\yor\copr.htm	Yorùbá		Biblica® ní oore ọ̀fẹ́ láti lo Bíbélì Mímọ́ ní Èdè Yorùbá Òde-Òní	by-sa	4.0	http://creativecommons.org/licenses/by-sa/4.0/	Biblica, Inc.	copyright © 2017	Translation by: Biblica, Inc.
yrb	E:\Work\eBible\projects\yrb\copr.htm	Yareba			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			Translation by: Wycliffe Bible Translators
yreNT	E:\Work\eBible\projects\yreNT\copr.htm	Yaouré		Bali -le 'fluba 'trɛ Zozi blamin pli Bali man 'e 'pee	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1999	Translation by: Wycliffe Bible Translators, Inc.
yss-yamano	E:\Work\eBible\projects\yss-yamano\copr.htm	Yessan-Mayo (Yamano) (Yessan-Mayo)	Yamano		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Lutheran Bible Translators	copyright © 1980, 2004	Translation by: Lutheran Bible Translators
